platforms,dates,views,clicks,location,age_group
linkedin,2023-01-07,754,1752,US,2
linkedin,2023-02-07,1812,687,India,2
linkedin,2023-03-07,1618,1503,Austria,1
linkedin,2023-04-07,2729,1845,India,2
linkedin,2023-05-07,525,1727,US,1
linkedin,2023-06-07,2220,683,US,0
linkedin,2023-07-07,1172,989,Austria,1
twitch,2023-01-07,1993,1162,Austria,0
twitch,2023-02-07,940,649,Austria,0
twitch,2023-03-07,549,1897,India,1
twitch,2023-04-07,1398,1632,Austria,2
twitch,2023-05-07,1056,1004,US,2
twitch,2023-06-07,2618,1998,India,0
twitch,2023-07-07,788,846,India,2
amazon,2023-01-07,998,1982,India,0
amazon,2023-02-07,2023,994,US,2
amazon,2023-03-07,2537,567,India,0
amazon,2023-04-07,2842,1496,Austria,0
amazon,2023-05-07,2367,1173,India,1
amazon,2023-06-07,960,653,US,1
amazon,2023-07-07,1435,1862,India,1
