platforms,dates,views,clicks,location,age_group
facebook,2023-03-07,2897,1772,US,0
youtube,2023-03-07,1907,670,Austria,1
instagram,2023-03-07,860,957,US,0
tik_tok,2023-03-07,1434,1587,Austria,2
myntra,2023-03-07,1495,942,India,1
flipkart,2023-03-07,1889,1764,India,2
amazon,2023-03-07,2537,567,India,0
twitter,2023-03-07,2108,1839,US,2
pinterest,2023-03-07,1248,606,US,1
linkedin,2023-03-07,1618,1503,Austria,1
snapchat,2023-03-07,2972,1400,India,1
netflix,2023-03-07,1934,1648,India,2
spotify,2023-03-07,2992,511,Austria,1
whatsapp,2023-03-07,2884,557,India,2
uber,2023-03-07,684,1281,Austria,0
lyft,2023-03-07,621,1625,US,2
twitch,2023-03-07,549,1897,India,1
zomato,2023-03-07,1663,934,Austria,0
swiggy,2023-03-07,1087,1753,US,2
google,2023-03-07,1754,1670,Austria,1
amazon,2023-01-07,998,1982,India,0
amazon,2023-02-07,2023,994,US,2
amazon,2023-03-07,2537,567,India,0
amazon,2023-04-07,2842,1496,Austria,0
amazon,2023-05-07,2367,1173,India,1
amazon,2023-06-07,960,653,US,1
amazon,2023-07-07,1435,1862,India,1
snapchat,2023-01-07,2228,1936,India,0
snapchat,2023-02-07,620,1528,India,0
snapchat,2023-03-07,2972,1400,India,1
snapchat,2023-04-07,1897,1647,US,2
snapchat,2023-05-07,2428,1218,Austria,0
snapchat,2023-06-07,521,1066,US,1
snapchat,2023-07-07,2829,847,US,2
